Time,dt,Error,Omega,V,Dummy,P,I,D
0.192205327,0.192205327,0.8999999761581421,0.8,0.0192205327,0.0,0.8999999761581421,0.017298478971746793,0.9364984729670288
0.287541624,0.095336297,0.8999999761581421,0.8,0.0287541624,0.0,0.8999999761581421,0.0344590119771479,0.0
0.492078824,0.2045372,0.8999999761581421,0.8,0.0492078824,0.0,0.8999999761581421,0.07127570700183854,0.0
0.636786943,0.144708119,0.8999999761581421,0.8,0.0636786943,0.0,0.8999999761581421,0.09732316773181644,0.0
0.671490804,0.034703861,0.8999999761581421,0.8,0.0671490804,0.0,0.8999999761581421,0.10356986254633554,0.0
0.912253149,0.240762345,0.8999999761581421,0.8,0.0912253149,0.0,0.8999999761581421,0.1469070834982912,0.0
1.013319421,0.101066272,0.8999999761581421,0.8,0.1013319421,0.0,0.8999999761581421,0.16509901197636967,0.0
1.217834098,0.204514677,0.8999999761581421,0.8,0.1217834098,0.0,0.8999999761581421,0.20191165286116772,0.0
1.404897603,0.187063505,0.8999999761581421,0.8,0.14048976030000002,0.0,0.8999999761581421,0.2355830828691794,0.0
1.502447332,0.097549729,0.8999999761581421,0.8,0.1502447332,0.0,0.8999999761581421,0.25314203362402604,0.0
1.674799842,0.17235251,0.8999999761581421,0.8,0.16747998420000001,0.0,0.8999999761581421,0.2841654846021852,0.0
1.771158282,0.09635844,0.8999999761581421,0.8,0.17711582820000002,0.0,0.8999999761581421,0.3015100033427124,0.0
1.996669569,0.225511287,0.8999999761581421,0.8,0.19966695690000003,0.0,0.8999999761581421,0.3421020339273908,0.0
2.086192053,0.089522484,0.8999999761581421,0.8,0.20861920530000003,0.0,0.8999999761581421,0.35821608062051435,0.0
2.337028875,0.250836822,0.8999999761581421,0.8,0.23370288750000004,0.0,0.8999999761581421,0.4,0.0
2.421549605,0.08452073,0.8999999761581421,0.8,0.24215496050000004,0.0,0.8999999761581421,0.4,0.0
2.597673611,0.176124006,0.8999999761581421,0.8,0.25976736110000004,0.0,0.8999999761581421,0.4,0.0
2.676070822,0.078397211,0.8999999761581421,0.8,0.2676070822,0.0,0.8999999761581421,0.4,0.0
2.838476921,0.162406099,0.8999999761581421,0.8,0.2838476921,0.0,0.8999999761581421,0.4,0.0
3.051014553,0.212537632,0.8999999761581421,0.8,0.3051014553,0.0,0.8999999761581421,0.4,0.0
3.182043306,0.131028753,0.8999999761581421,0.8,0.3182043306,0.0,0.8999999761581421,0.4,0.0
3.381319735,0.199276429,0.8999999761581421,0.8,0.33813197349999996,0.0,0.8999999761581421,0.4,0.0
3.485005745,0.10368601,0.8999999761581421,0.8,0.34850057449999994,0.0,0.8999999761581421,0.4,0.0
3.593700157,0.108694412,0.8999999761581421,0.8,0.35937001569999993,0.0,0.8999999761581421,0.4,0.0
4.051088896,0.457388739,0.8999999761581421,0.8,0.4051088895999999,0.0,0.8999999761581421,0.4,0.0
4.114429677,0.063340781,0.8999999761581421,0.8,0.4114429676999999,0.0,0.8999999761581421,0.4,0.0
4.212834639,0.098404962,0.8999999761581421,0.8,0.4212834638999999,0.0,0.8999999761581421,0.4,0.0
4.243960702,0.031126063,0.8999999761581421,0.8,0.42439607019999986,0.0,0.8999999761581421,0.4,0.0
4.272664101,0.028703399,0.8999999761581421,0.8,0.4272664100999999,0.0,0.8999999761581421,0.4,0.0
4.299086916,0.026422815,0.8999999761581421,0.8,0.4299086915999999,0.0,0.8999999761581421,0.4,0.0
4.35725687,0.058169954,0.8999999761581421,0.8,0.4357256869999999,0.0,0.8999999761581421,0.4,0.0
4.373492611,0.016235741,0.8999999761581421,0.8,0.43734926109999994,0.0,0.8999999761581421,0.4,0.0
4.417846202,0.044353591,0.8999999761581421,0.8,0.4417846201999999,0.0,0.8999999761581421,0.4,0.0
4.53804558,0.120199378,0.8999999761581421,0.8,0.4538045579999999,0.0,0.8999999761581421,0.4,0.0
4.738867974,0.200822394,0.8999999761581421,0.8,0.4738867973999999,0.0,0.8999999761581421,0.4,0.0
4.858062279,0.119194305,0.8999999761581421,0.8,0.4858062278999999,0.0,0.8999999761581421,0.4,0.0
4.984258771,0.126196492,0.8999999761581421,0.8,0.49842587709999986,0.0,0.8999999761581421,0.4,0.0
